iter	Passed	Remaining
0	59	59381
1	59	29798
2	60	19945
3	60	15016
4	60	12059
5	60	10083
6	61	8674
7	61	7622
8	61	6797
9	61	6137
10	62	5600
11	62	5153
12	62	4774
13	63	4448
14	63	4168
15	63	3927
16	64	3713
17	64	3520
18	64	3347
19	65	3190
20	65	3049
21	65	2919
22	65	2801
23	66	2692
24	66	2593
25	66	2501
26	67	2415
27	67	2336
28	67	2262
29	67	2193
30	68	2129
31	68	2068
32	68	2011
33	68	1958
34	69	1908
35	69	1861
36	69	1815
37	70	1772
38	70	1732
39	70	1694
40	70	1657
41	71	1622
42	71	1591
43	71	1560
44	72	1529
45	72	1500
46	72	1473
47	72	1447
48	73	1422
49	73	1398
50	74	1377
51	74	1355
52	74	1334
53	75	1314
54	75	1293
55	75	1275
56	75	1256
57	76	1238
58	76	1220
59	76	1204
60	77	1188
61	77	1171
62	77	1156
63	78	1142
64	78	1128
65	78	1114
66	79	1101
67	79	1087
68	79	1074
69	79	1061
70	80	1049
71	80	1039
72	80	1027
73	81	1015
74	81	1004
75	81	993
76	81	982
77	82	972
78	82	961
79	82	951
80	83	942
81	83	933
82	83	922
83	83	913
84	84	905
85	84	898
86	84	889
87	85	881
88	85	873
89	85	866
90	86	860
91	86	854
92	86	847
93	87	839
94	87	832
95	87	825
96	88	819
97	88	813
98	88	807
99	89	801
100	89	795
101	89	789
102	89	783
103	90	778
104	90	774
105	91	768
106	91	762
107	91	758
108	92	752
109	92	747
110	92	742
111	92	736
112	93	732
113	93	728
114	94	723
115	94	719
116	94	714
117	95	710
118	95	706
119	95	702
120	96	698
121	96	693
122	96	689
123	97	685
124	97	681
125	97	677
126	97	672
127	98	668
128	98	665
129	98	661
130	99	657
131	99	653
132	99	650
133	100	647
134	100	643
135	100	640
136	101	638
137	101	634
138	101	631
139	102	627
140	102	624
141	102	620
142	102	616
143	103	614
144	103	610
145	103	607
146	104	604
147	104	601
148	104	598
149	105	595
150	105	592
151	105	590
152	106	587
153	106	584
154	106	581
155	107	579
156	107	577
157	107	575
158	108	572
159	108	569
160	108	567
161	109	565
162	109	562
163	109	560
164	110	558
165	110	555
166	110	553
167	111	550
168	111	548
169	112	546
170	112	544
171	112	542
172	113	540
173	113	538
174	113	536
175	113	533
176	114	531
177	114	529
178	114	526
179	115	524
180	115	522
181	115	520
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	507
188	117	505
189	118	503
190	118	502
191	118	500
192	119	499
193	119	497
194	119	495
195	120	493
196	120	491
197	120	489
198	121	487
199	121	486
200	121	484
201	122	482
202	122	480
203	122	478
204	122	476
205	123	475
206	123	473
207	124	472
208	124	470
209	124	469
210	125	467
211	125	466
212	125	464
213	126	462
214	126	461
215	126	460
216	127	458
217	127	457
218	127	455
219	128	454
220	128	452
221	128	451
222	129	449
223	129	448
224	129	447
225	130	445
226	130	444
227	130	442
228	131	441
229	131	440
230	131	438
231	132	437
232	132	436
233	132	434
234	133	433
235	133	431
236	133	430
237	133	428
238	134	427
239	134	425
240	134	424
241	135	422
242	135	421
243	135	420
244	136	419
245	136	418
246	136	416
247	137	415
248	137	414
249	137	413
250	138	411
251	138	410
252	138	409
253	139	408
254	139	407
255	139	405
256	140	404
257	140	403
258	140	402
259	140	401
260	141	399
261	141	398
262	141	397
263	142	396
264	142	394
265	142	393
266	142	392
267	143	391
268	143	389
269	143	388
270	143	387
271	144	385
272	144	384
273	144	383
274	144	382
275	145	380
276	145	379
277	145	378
278	146	377
279	146	376
280	146	375
281	146	373
282	147	372
283	147	371
284	147	370
285	147	369
286	148	368
287	148	367
288	148	365
289	149	364
290	149	363
291	149	362
292	149	361
293	150	360
294	150	359
295	150	358
296	150	357
297	151	355
298	151	354
299	151	353
300	151	352
301	152	351
302	152	350
303	152	349
304	153	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	154	341
312	155	340
313	155	339
314	155	338
315	155	337
316	156	336
317	156	335
318	156	334
319	156	333
320	157	332
321	157	331
322	157	330
323	157	329
324	158	328
325	158	327
326	158	326
327	158	325
328	159	324
329	159	323
330	159	322
331	159	321
332	160	320
333	160	320
334	160	319
335	160	318
336	161	317
337	161	316
338	161	315
339	161	314
340	162	313
341	162	312
342	162	311
343	163	310
344	163	309
345	163	309
346	163	308
347	164	307
348	164	306
349	164	305
350	164	304
351	165	303
352	165	303
353	165	302
354	165	301
355	166	300
356	166	299
357	166	298
358	166	298
359	167	297
360	167	296
361	167	295
362	167	294
363	168	293
364	168	293
365	168	292
366	168	291
367	169	290
368	169	289
369	169	289
370	170	288
371	170	287
372	170	286
373	170	285
374	171	285
375	171	284
376	171	283
377	171	282
378	172	282
379	172	281
380	172	280
381	172	279
382	173	279
383	173	278
384	173	277
385	173	276
386	174	275
387	174	275
388	174	274
389	174	273
390	175	272
391	175	272
392	175	271
393	175	270
394	176	269
395	176	268
396	176	268
397	176	267
398	177	266
399	177	265
400	177	265
401	177	264
402	178	263
403	178	262
404	178	262
405	178	261
406	178	260
407	179	260
408	179	259
409	179	258
410	179	257
411	180	257
412	180	256
413	180	255
414	181	255
415	181	254
416	181	253
417	181	253
418	182	252
419	182	251
420	182	251
421	182	250
422	183	249
423	183	249
424	183	248
425	183	247
426	184	247
427	184	246
428	184	245
429	185	245
430	185	244
431	185	243
432	185	243
433	186	242
434	186	241
435	186	241
436	186	240
437	187	240
438	187	239
439	187	238
440	187	238
441	188	237
442	188	236
443	188	236
444	188	235
445	189	234
446	189	234
447	189	233
448	189	232
449	190	232
450	190	231
451	190	231
452	190	230
453	191	229
454	191	229
455	191	228
456	191	227
457	192	227
458	192	226
459	192	226
460	192	225
461	193	224
462	193	224
463	193	223
464	193	223
465	194	222
466	194	221
467	194	221
468	194	220
